Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Tokyo Noodle,Mini Instant Noodles Artificial Chicken Flavor,Pack,Japan,5,pepper free,mild,"(100, 2500)",Asia
Nissin,Raoh Rich Soy Sauce With Roast Pork (2 Slices),Bowl,Japan,4.5,pepper free,mild,"(100, 2500)",Asia
Myojo,Ippei-chan Yomise No Yakisoba Teriyaki Mayo Flavor,Tray,Japan,5,pepper free,pepper free,0,Asia
Nissin,GooTa Demi Hamburg-Men,Cup,Japan,4.75,pepper free,pepper free,0,Asia
Nissin,Raoh Soy Sauce Taste,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Nissin,Raoh Rich Miso Flavor,Bowl,Japan,5,pepper free,pepper free,0,Asia
Nissin,Cup Noodle Red Shock,Cup,Japan,3.75,pepper free,pepper free,0,Asia
Maruchan,Seimen Japanese Instant Ramen Noodles Soy Sauce Taste,Pack,Japan,3.75,pepper free,mild,"(100, 2500)",Asia
New Touch,Yakisoba Noodle,Tray,Japan,4,pepper free,pepper free,0,Asia
Itomen,Chanponmen,Pack,Japan,4.25,pepper free,pepper free,0,Asia
Nissin,King Cup Noodle BBQ Chicken & Onion,Cup,Japan,3.75,pepper free,pepper free,0,Asia
Nissin,King Spa Oh Peperoncino Spaghetti (日清生タイプSpa王 ペペロンチーノ),Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Sakurai Foods,Miso Stew Instant Udon (Winter),Pack,Japan,4.25,pepper free,pepper free,0,Asia
Nissin,Donbei Tensoba,Bowl,Japan,4,pepper free,pepper free,0,Asia
Nissin,Raoh Backfat Rich Soy Sauce Flavor,Bowl,Japan,5,pepper free,mild,"(100, 2500)",Asia
Sakurai Foods,ARCHE Naturküche Ramen Mit Ingwer,Pack,Japan,3.25,pepper free,pepper free,0,Asia
Sakurai Foods,Soy Sauce Ramen,Bowl,Japan,4.25,pepper free,mild,"(100, 2500)",Asia
Sakurai Foods,100% Vegetarian Soy Sauce Flavor,Pack,Japan,4.25,pepper free,mild,"(100, 2500)",Asia
Sakurai Foods,Sesame Noodles,Pack,Japan,5,pepper free,pepper free,0,Asia
Sakurai Foods,Miso Ramen,Bowl,Japan,4,pepper free,pepper free,0,Asia
Sakurai Foods,ARCHE Naturküche Japanische Nudelsuppe,Pack,Japan,3.25,pepper free,pepper free,0,Asia
Sakurai Foods,Soy Sauce Ramen,Pack,Japan,4.75,pepper free,mild,"(100, 2500)",Asia
Goku Uma,Seafood Flavor Japanese Noodles,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Nissin,Ramen Shop Sapporo Miso,Pack,Japan,4,pepper free,pepper free,0,Asia
Myojo,Ippei-chan Yomise-No Yakisoba Oriental,Tray,Japan,4.75,pepper free,pepper free,0,Asia
Fuji Mengyo,Nabeyaki Udon,Bowl,Japan,3.5,pepper free,pepper free,0,Asia
Itomen,Sansai Soba Edible Wld Plant,Bowl,Japan,3.25,pepper free,pepper free,0,Asia
Seven-Eleven,Seven & I Shoyu,Cup,Japan,4.5,pepper free,pepper free,0,Asia
Paldo,Shoyu,Cup,Japan,3.25,pepper free,pepper free,0,Asia
Maruchan,Tempura Soba,Pack,Japan,4,pepper free,pepper free,0,Asia
Acecook,Super Big Ramen Soy Sauce,Bowl,Japan,1.25,pepper free,mild,"(100, 2500)",Asia
Acecook,Super Big Ramen Tonkotsu,Bowl,Japan,1,pepper free,pepper free,0,Asia
Daikoku,Bikkuchigekara Big Chige,Bowl,Japan,3.75,pepper free,pepper free,0,Asia
Nissin,U.F.O. Yakiosoba,Bowl,Japan,3.75,pepper free,pepper free,0,Asia
Yamamoto,Seafood Ramen,Bowl,Japan,3.5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Black Garlic Oil Tonkotsu,Pack,Japan,4.5,pepper free,pepper free,0,Asia
Nissin,Chikin Ramen (Local),Pack,Japan,5,pepper free,pepper free,0,Asia
JFC,Japanese Style Noodle Curry,Bowl,Japan,4.5,pepper free,mild,"(100, 2500)",Asia
Nissin,Gozen Tempura,Bowl,Japan,4,pepper free,pepper free,0,Asia
Daikoku,Shokuh Kitsune Udon,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Yamamoto,Ponpoko Tempura Soba,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Sapporo Ichiban,Shio,Pack,Japan,5,pepper free,pepper free,0,Asia
Yamamoto,Shoyu,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Nissin,Gozen Kitsune Udon,Bowl,Japan,5,pepper free,pepper free,0,Asia
Yamamori,Tom Yam Ramen Pork,Pack,Japan,4.75,pepper free,hot,"(10000, 50000)",Asia
Daikoku,My Friend Vic Tanuki Udon,Bowl,Japan,4.75,pepper free,pepper free,0,Asia
Yamamoto,Ponpoko Tempura Udon,Bowl,Japan,4.75,pepper free,pepper free,0,Asia
Nissin,Demae Iccho Sesame Oil Chicken Macaroni,Pack,Japan,3.75,pepper free,mild,"(100, 2500)",Asia
Yamamori,Tom Yam Prawn,Pack,Japan,4.5,pepper free,hot,"(10000, 50000)",Asia
Menraku,Tempura Soba,Bowl,Japan,3.75,pepper free,pepper free,0,Asia
Shirakiku,Japanese Style Tokusen Sio,Pack,Japan,3.25,pepper free,mild,"(100, 2500)",Asia
Goku Uma,Soy Sauce,Bowl,Japan,3.5,pepper free,mild,"(100, 2500)",Asia
Myojo,Ippeichan Soy Sauce,Bowl,Japan,4,pepper free,mild,"(100, 2500)",Asia
Nissin,Taisho Fried Noodle Yakisoba,Pack,Japan,4.25,pepper free,pepper free,0,Asia
Menraku,Curry Udon,Bowl,Japan,4.75,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Chicken,Pack,Japan,3,pepper free,pepper free,0,Asia
Menraku,Soy Sauce,Bowl,Japan,4.25,pepper free,mild,"(100, 2500)",Asia
Shirakiku,Sanukiya Fresh Spicy Ramen,Bowl,Japan,3,spicy,spicy,"(2500, 10000)",Asia
Menraku,Miso,Bowl,Japan,2.75,pepper free,pepper free,0,Asia
Nissin,Demae Iccho Seafood & Abalone Macaroni,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Itomen,Yellow Buckwheat,Bowl,Japan,4.5,pepper free,pepper free,0,Asia
Menraku,Shio,Bowl,Japan,4.5,pepper free,pepper free,0,Asia
Myojo,Ramen-Desse Miso Soybean Paste,Bowl,Japan,4.5,pepper free,pepper free,0,Asia
Menraku,Tempura Udon,Bowl,Japan,5,pepper free,pepper free,0,Asia
Myojo,Hyoubanya No Chukasoba Soy Sauce,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Myojo,Ippeichan Soybean Paste,Bowl,Japan,4,pepper free,pepper free,0,Asia
Myojo,Kakesoba Desse Soy Sauce,Bowl,Japan,2.75,pepper free,mild,"(100, 2500)",Asia
Myojo,Ramen Desse Shio,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Maruchan,Midori No Tanuki,Bowl,Japan,4.125,pepper free,pepper free,0,Asia
Myojo,Suudon Desse Soy Sauce,Bowl,Japan,4.25,pepper free,mild,"(100, 2500)",Asia
Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,pepper free,pepper free,0,Asia
Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25,pepper free,pepper free,0,Asia
Menraku,Curry Soba,Bowl,Japan,4,pepper free,pepper free,0,Asia
Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Nissin,Demae Iccho Tonkotsu Macaroni,Pack,Japan,3.5,pepper free,mild,"(100, 2500)",Asia
Myojo,Charumera Shoyu,Pack,Japan,3.5,pepper free,pepper free,0,Asia
Shirakiku,Japanese Style Tokusen Shoyu,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Goku Uma,Hot & Spicy Beef,Bowl,Japan,3.5,spicy,spicy,"(2500, 10000)",Asia
Tablemark,Soybean Paste,Bowl,Japan,4.5,pepper free,pepper free,0,Asia
Myojo,Hyoubanya No Yakisoba Oriental,Tray,Japan,4,pepper free,pepper free,0,Asia
Myojo,Udon Mushroom,Pack,Japan,3,pepper free,pepper free,0,Asia
Nissin,Karashi Mayo Yakisoba,Tray,Japan,4.75,pepper free,pepper free,0,Asia
Myojo,Udon Hot & Spicy,Pack,Japan,4.5,spicy,spicy,"(2500, 10000)",Asia
Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5,pepper free,pepper free,0,Asia
Myojo,Udon Shrimp,Pack,Japan,3.75,pepper free,pepper free,0,Asia
Myojo,Udon Chicken,Pack,Japan,3.75,pepper free,pepper free,0,Asia
Myojo,Udon Crab,Pack,Japan,3,pepper free,pepper free,0,Asia
Shirakiku,Sanukiya Somen,Bowl,Japan,4.25,pepper free,pepper free,0,Asia
Myojo,Chukazanmai Served Cool Sesame Flavored Rice Vinegar Sesame,Pack,Japan,3,pepper free,pepper free,0,Asia
Shirakiku,Sanukiya Udon,Bowl,Japan,3.75,pepper free,pepper free,0,Asia
Myojo,Chukazanmai Soy Sauce,Pack,Japan,3.75,pepper free,mild,"(100, 2500)",Asia
Myojo,Chukazanmai Soy Sauce chili Oil,Pack,Japan,3.25,pepper free,mild,"(100, 2500)",Asia
Myojo,Hyobanya No Yakisoba Sauce Flavor,Tray,Japan,4.75,pepper free,pepper free,0,Asia
Myojo,Chukazanmai Soybean Paste,Pack,Japan,3.5,pepper free,pepper free,0,Asia
JFC,Japanese Style Noodle Fresh Udon,Bowl,Japan,3.75,pepper free,mild,"(100, 2500)",Asia
Myojo,Chukazanmai Oriental,Pack,Japan,3.75,pepper free,pepper free,0,Asia
Myojo,Ramen Desse Soy Sauce,Bowl,Japan,1.5,pepper free,mild,"(100, 2500)",Asia
Shirakiku,Japanese Style Tokusen Miso,Pack,Japan,3,pepper free,mild,"(100, 2500)",Asia
Maruchan,Akai Kitsune Udon,Bowl,Japan,4,pepper free,pepper free,0,Asia
Myojo,Okinawa Soba,Pack,Japan,3.75,pepper free,pepper free,0,Asia
Higashi,Nagasaki Sara Udon,Pack,Japan,5,pepper free,pepper free,0,Asia
Sakurai,Vegetarian Flavor,Pack,Japan,3.5,pepper free,pepper free,0,Asia
Sapporo Ichiban,Miso Soybean Paste,Pack,Japan,3.5,pepper free,pepper free,0,Asia
Shirakiku,Japanese Style Tokusen Karami,Pack,Japan,3,pepper free,mild,"(100, 2500)",Asia
Nissin,Yakisoba With Mayonnaise/Mustard Packet,Tray,Japan,5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Sesame,Pack,Japan,3.75,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2,spicy,spicy,"(2500, 10000)",Asia
Nissin,Demae Ramen Miso,Pack,Japan,2.75,pepper free,pepper free,0,Asia
Sapporo Ichiban,Kitsune Udon,Pack,Japan,3.25,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Seafood,Pack,Japan,2.5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Prawn,Pack,Japan,3.25,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Shoyu,Pack,Japan,4,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Five Spices Artificial Beef,Pack,Japan,3.5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Tonkatsu Artificial Pork,Pack,Japan,3.5,pepper free,mild,"(100, 2500)",Asia
Nissin,Demae Ramen Satay,Pack,Japan,2.5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4,pepper free,mild,"(100, 2500)",Asia
Nissin,Souper Meal Chicken Flavor With Vegetable Medley,Bowl,Japan,3,pepper free,pepper free,0,Asia
Myojo,Ippeichan Yakisoba,Tray,Japan,4,pepper free,pepper free,0,Asia
Myojo,Special Duck,Pack,Japan,1,pepper free,pepper free,0,Asia
Nissin,Chikin Ramen,Pack,Japan,5,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Curry Flavor,Pack,Japan,4,pepper free,pepper free,0,Asia
Nissin,Soba Noodles With Mayo Mustard Squirt,Pack,Japan,4,pepper free,pepper free,0,Asia
Nissin,Demae Ramen Spicy Flavor,Pack,Japan,3,spicy,spicy,"(2500, 10000)",Asia
Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2,spicy,spicy,"(2500, 10000)",Asia
Sapporo Ichiban,Chow Mein,Pack,Japan,5,pepper free,mild,"(100, 2500)",Asia
Sapporo Ichiban,Shrimp Flavor,Pack,Japan,2.5,pepper free,pepper free,0,Asia
Red Chef,Hae Bee Hiam Dried Noodles,Pack,Malaysia,5,pepper free,pepper free,0,Asia
KampongKu,Curry Seafood Fried Noodles,Pack,Malaysia,5,pepper free,pepper free,0,Asia
A1,Mi Kari Laksa Curry Laksa Noodle,Pack,Malaysia,5,pepper free,pepper free,0,Asia
KampongKu,Mamak Fried Noodles,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
KampongKu,Garlic Black Pepper Fried Noodles,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Mamee,Monster x Daebak Ghost Pepper Daging Cendawan Pedas,Pack,Malaysia,1.5,pepper free,pepper free,0,Asia
Shinsegae Mamee,Daebak Ghost Pepper Cheese Spicy Chicken Flavour,Cup,Malaysia,4,spicy,spicy,"(2500, 10000)",Asia
Meet Mee,Malaysia Chili Pan Mee,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Mamee,Monster x Daebak Ghost Pepper Kari Lontong,Pack,Malaysia,4.5,pepper free,pepper free,0,Asia
Mamee,Monster x Daebak Ghost Pepper Mie Goreng Indonesia,Pack,Malaysia,4.5,pepper free,pepper free,0,Asia
MyKuali,White Fish Broth Rice Vermicelli,Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,White Fish Broth Noodle,Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Red Tom Yum Goong,Pack,Malaysia,2.5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Noodle (New Formulation),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Tasty.ly,Quick Pasta Cheezy,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
Mamee,SLRP! Mi Segera Perisa Kari Xtra Pedas,Pack,Malaysia,4,pepper free,mild,"(100, 2500)",Asia
Kay's,Instant Macaroni Chicken Soup,Pack,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
MyKuali,Spicy Fried Noodle MeeKuali Pedas,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
Tasty ly,Quick Pasta Creamy,Pack,Malaysia,4.5,pepper free,pepper free,0,Asia
Tasty.ly,Cup Pasta Carbonara,Cup,Malaysia,3.5,pepper free,pepper free,0,Asia
Mamee,SLRP! Kari Xtra Pedas,Cup,Malaysia,3.5,pepper free,pepper free,0,Asia
Mamee Shinsegae,Habanero Kimchi Jjigae Instant Noodles Soup,Cup,Malaysia,3.75,pepper free,pepper free,0,Asia
Mamee,SLRP! Kari Berapi,Pack,Malaysia,4,pepper free,pepper free,0,Asia
Mamee,Monster Ghost Pepper Snek Mi,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Mamee,SLRP! Kari Berapi,Cup,Malaysia,4.5,pepper free,pepper free,0,Asia
A1,Abalone Noodle,Pack,Malaysia,4.75,pepper free,pepper free,0,Asia
MyKuali,White Fish Broth Cup Noodle,Cup,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup (2019 Recipe),Bowl,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,White Fish Broth Rice Vermicelli,Bowl,Malaysia,5,pepper free,pepper free,0,Asia
Mykuali,Penang Spicy Prawn Soup Noodle (2019 Edition),Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
MyKuali,White Fish Broth Noodle,Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang White Curry Noodle (New Recipe),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Mykuali,Penang Hokkien Prawn Rice Vermicelli Soup,Bowl,Malaysia,5,pepper free,pepper free,0,Asia
Mamee,Monster,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
Red Chef,Spicy Sakura Prawn Soup Rice Vermicelli & Noodles (New Recipe),Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
Red Chef,Green Tom Yum Soup Noodles (New Formulation Dec 2019),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Pan Mee,Goreng Dried Chili Shrimp Flavour,Pack,Malaysia,5,pepper free,mild,"(100, 2500)",Asia
Pan Mee,Goreng Dried Curry Flavour,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Pan Mee,Perisa Sup Nyonya Laksa Melaka,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
Mykuali,Penang Gaeng Som Noodle,Pack,Malaysia,4.25,pepper free,pepper free,0,Asia
Red Chef,Spicy Sakura Prawn Soup Rice Vermicelli & Noodles,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
Mykuali,Vegetarian Penang white Curry Noodles,Pack,Malaysia,1.5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Gaeng Som Noodle,Cup,Malaysia,4.5,pepper free,pepper free,0,Asia
Red Chef,Pandan White Curry Noodle (New Recipe),Pack,Malaysia,5,pepper free,pepper free,0,Asia
Mamee / Shinsegae,Daebak Spicy Kimchi,Pack,Malaysia,4.5,spicy,spicy,"(2500, 10000)",Asia
Mamee Shinsegae,Daebak Ghost Pepper Spicy Chicken,Cup,Malaysia,3.75,spicy,spicy,"(2500, 10000)",Asia
Maggi,Pedas Giler Tom Yummz Mi Goreng,Pack,Malaysia,2.5,pepper free,mild,"(100, 2500)",Asia
Way Premium Foods,Authentic Penang Asam Laksa,Box,Malaysia,5,pepper free,pepper free,0,Asia
Way Premium Foods,Authentic Chili Crab Noodles,Box,Malaysia,4,pepper free,pepper free,0,Asia
Way Premium Foods,Authentic Singapore Laksa,Box,Malaysia,5,pepper free,pepper free,0,Asia
Way Premium Foods,Authentic Penang Prawn Mee,Box,Malaysia,5,pepper free,pepper free,0,Asia
Way Premium Foods,Authentic Thai Laksa,Box,Malaysia,5,pepper free,pepper free,0,Asia
Way Premium Foods,Premium Scallop Noodles,Box,Malaysia,5,pepper free,pepper free,0,Asia
Maggi,Pedas Giler Ayam Bakar Mi Goreng,Pack,Malaysia,4.25,pepper free,mild,"(100, 2500)",Asia
Uncle Sun,Dry Chili Crab Noodle,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
Mamee-Shinsegae,Daebak Spicy Fried Chicken Dry Noodle,Pack,Malaysia,4.25,spicy,spicy,"(2500, 10000)",Asia
Uncle Sun,Dry Black Pepper Crab Noodle,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
Super,Cup Instant Noodle Seafood Flavour,Cup,Malaysia,2.5,pepper free,mild,"(100, 2500)",Asia
World O Noodle,Asam Laksa Flavour Instant Noodles,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
Super,Super Cup Signature White Curry,Cup,Malaysia,0.25,pepper free,pepper free,0,Asia
World O Noodle,Curry Flavour Instant Noodle,Pack,Malaysia,4.25,pepper free,pepper free,0,Asia
Ped Chef,Sesame Clear Soup Noodles,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
Red Chef,Pandan White Curry Noodles,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Red Chef,Green Tom Yum Soup Noodles,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Red Chef,Spicy Sakura Prawn Soup Noodles,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
MyKuali,Hokkien Prawn (2018 Recipe),Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Red Tom Yum Goong Noodle (2018 Recipe),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Noodle (2018 Recipe),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,4.75,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,pepper free,pepper free,0,Asia
MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3,pepper free,mild,"(100, 2500)",Asia
Nyor Nyar,Vegetarian Penang White Curry,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Nyor Nyar,Penang White Curry Instant Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
CarJEN,Hot & Spicy Dry Curry With Chives Soup,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
CarJEN,Otentiq Cheezy Mushroom Instant Noodles (Improved Taste),Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Hokkien Prawn Noodle Authentic Taste,Cup,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang Red Tom Yum Goong Noodle Authentic Taste,Cup,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
E-Zee,Perisa Asam Pedas Mi Segera,Pack,Malaysia,3.75,pepper free,mild,"(100, 2500)",Asia
ORee Garden,Malaysia Green Curry Noodle,Bowl,Malaysia,5,pepper free,pepper free,0,Asia
A1,Vegetarian Herbal Noodle,Pack,Malaysia,1.5,pepper free,pepper free,0,Asia
CarJEN,Otentiq Cheezy Curry Instant Noodles (Improved Taste),Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyKuali,Penang White Curry Authentic Taste Cup,Cup,Malaysia,4.75,pepper free,hot,"(10000, 50000)",Asia
E-Zee,Perisa Kari Mi Segera (Improved Taste),Pack,Malaysia,5,pepper free,mild,"(100, 2500)",Asia
MyKuali,Penang White curry Noodle Authentic Taste,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang Red tom Yum Goong Noodle Authentic Taste,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
CarJEN,Nyonya Curry Laksa (Improved Taste),Pack,Malaysia,5,pepper free,pepper free,0,Asia
MyOri,Malaysia Penang Green Curry Vermicelli (New Package),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyOri,Malaysia Penang Red Curry Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
MyKuali,Penang Spicy Prawn Soup Noodle Authentic Taste,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
Ibumie,Always Mi Goreng Perisa Sambal Udang,Pack,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
Ibumie,Always Mi Goreng Perisa Kari Kapitan,Pack,Malaysia,5,pepper free,mild,"(100, 2500)",Asia
Ibumie,Always Mi Goreng Perisa Thai Tom Yam,Pack,Malaysia,2.5,pepper free,mild,"(100, 2500)",Asia
MyKuali,Penang Spicy Prawn Soup Noodle,Pack,Malaysia,5,spicy,spicy,"(2500, 10000)",Asia
Ibumie,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75,pepper free,mild,"(100, 2500)",Asia
Pama,Instant Rice Vermicelli Clear Soup Flavour,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
MyKuali,Penang Red tom Yum Goong Noodle (New Version),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang White Curry Ramen,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang Asam Laksa Fried Instant Noodle,Pack,Malaysia,4.5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang Hokkien Mee Ramen,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang White Curry Fried Instant Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang Asam Laksa Ramen,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Taste Of Malaysia Penang Hokkien Mee Fried Instant Noodle,Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Vit's,Instant Noodles With Chicken Flavour,Pack,Malaysia,3.75,pepper free,pepper free,0,Asia
MyKuali,MeeKuali spicy Fried Noodle,Pack,Malaysia,4,spicy,spicy,"(2500, 10000)",Asia
Hao Way,Penang Vegetarian Prawn Instant Bowl Noodles,Bowl,Malaysia,4,pepper free,pepper free,0,Asia
MyKuali,Penang White Curry Noodle (New Version),Pack,Malaysia,5,pepper free,hot,"(10000, 50000)",Asia
Cintan,Mi Segera Mmm... Perisa Goreng Ala Indonesia,Pack,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
Vit's,Shallot Chicken Instant Noodles,Pack,Malaysia,3,pepper free,pepper free,0,Asia
Cintan,Mi Segera Mmm... Perisa Asam Laksa,Pack,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
A1,Soup Spices Noodle Mee Rempahan Sup,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
Vit's,Tom Yam Instant Noodles,Pack,Malaysia,4.25,pepper free,hot,"(10000, 50000)",Asia
Super,Kimchi,Cup,Malaysia,4.5,pepper free,pepper free,0,Asia
Cintan,Mi Segera Mmm... Perisa Ayam Cendawan,Pack,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
Super,Curry Flavour Noodles,Cup,Malaysia,3,pepper free,pepper free,0,Asia
Pama,Kua Teaw Segera,Pack,Malaysia,4,pepper free,pepper free,0,Asia
Super,Instant Noodles Black Pepper Crab Mi Goreng,Cup,Malaysia,3.5,pepper free,mild,"(100, 2500)",Asia
MyKuali,Penang Hokkien Prawn Soup Rice Vermicelli (Bihun),Bowl,Malaysia,5,pepper free,pepper free,0,Asia
Mamee,Chef Lontong Flavour,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Vit's,Duck Instant Noodles,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
Vit's,Curry Instant Noodles,Pack,Malaysia,3.5,pepper free,pepper free,0,Asia
Aroi,Curry Me! Penang White Curry Stir-fry Noodle,Pack,Malaysia,4.5,pepper free,hot,"(10000, 50000)",Asia
Mamee,Monster Snek Mi Pedas,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Super,Seafood Flavour Noodles,Cup,Malaysia,3.25,pepper free,pepper free,0,Asia
CarJEN,Otentiq Cheezy Curry Instant Noodles,Pack,Malaysia,4.5,pepper free,pepper free,0,Asia
Mamee,Chef Lontong Flavour,Cup,Malaysia,5,pepper free,pepper free,0,Asia
CarJEN,Otentiq Cheezy Mushroom Instant Noodles,Pack,Malaysia,5,pepper free,pepper free,0,Asia
Hao Way,Vegetarian Penang Laksa,Pack,Malaysia,4,pepper free,pepper free,0,Asia
Maggi,Hot Cup Goreng Perencah Cili Fiesta,Cup,Malaysia,4.75,hot,hot,"(10000, 50000)",Asia
