Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Chering Chang,Curry La-Men,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Prince Katsu Snack Noodles,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Wu-Mu,Steam Seafood Flavor Ramen,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Hello Kitty La Wei (Spicy Flavor),Pack,Taiwan,3.75,spicy,spicy,"(2500, 10000)",Asia
Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,2.5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Wu-Mu,Ramen With Pickled Mustard Flavor,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Wu-Mu,Steam Mushroom Flavor Ramen,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Deshome,Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Wu-Mu,Ramen With Stewed Pork Flavor,Pack,Taiwan,4.5,pepper free,mild,"(100, 2500)",Asia
Wu-Mu,Shiitake Flavor Spinach Ramen,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Wu-Mu,Dried Noodle With Jah Jan Sauce,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Wu-Mu,Beef Flavour Tomato Ramen,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Instant Noodle Shallot Flavor,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Hell Spicy Mala,Pack,Taiwan,4,spicy,spicy,"(2500, 10000)",Asia
China Best,Frozen Satay Sauce Noodle,Pack,Taiwan,1,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Instant Noodle Curry Flavour,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Wu-Mu,Ramen With Simmered Pork Flavor,Pack,Taiwan,3.75,pepper free,mild,"(100, 2500)",Asia
Wei Lih,What’s That? Leisure Meatballs Spicy Chicken Flavor,Pack,Taiwan,3.75,spicy,spicy,"(2500, 10000)",Asia
Unif,Man Han Feast Sichuan Chilli Eel Flavor,Bowl,Taiwan,5,pepper free,pepper free,0,Asia
Wu-Mu,Spicy Flavor Tomato Ramen,Pack,Taiwan,4,spicy,spicy,"(2500, 10000)",Asia
Wei Lih,What’s That? Leisure Meatballs Chicken Flavor,Pack,Taiwan,3.75,pepper free,mild,"(100, 2500)",Asia
Amianda,Homely Dried Noodles - Sesame Pate,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Amianda,Tachia Noodles - Hot & Spicy Sauce,Pack,Taiwan,3.5,spicy,spicy,"(2500, 10000)",Asia
